Pipeline,Hardware,Build,Platform,OS,buildinfo.project,buildinfo.type,concurrency,buildinfo.time,Ignore?,Machine,datetime,buildinfo.command.0,buildinfo.command.1,VM type,storage,environment.release,environment.initial_cpu.physical_cores,environment.initial_cpu.total_cores,environment.initial_cpu.frequency,environment.initial_memory.total
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,5,Orka,Catalina,audiokit_ioswithPython,Swift,0,146.137,,macpro-5,SatMay30130204PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,6,Orka,Catalina,audiokit_ioswithPython,Swift,0,145.194,,macpro-5,SatMay30130204PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,7,Orka,Catalina,audiokit_ioswithPython,Swift,0,145.02,,macpro-5,SatMay30130204PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,8,Orka,Catalina,audiokit_ioswithPython,Swift,0,148.424,,macpro-5,SatMay30130204PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,9,Orka,Catalina,audiokit_ioswithPython,Swift,0,162.086,,macpro-5,SatMay30130204PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,10,Orka,Catalina,audiokit_ioswithPython,Swift,0,160.269,,macpro-5,SatMay30130204PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,2,Orka,Catalina,audiokit_ioswithPython,Swift,0,158.722,,macpro-6,SatMay30191618PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,3,Orka,Catalina,audiokit_ioswithPython,Swift,0,151.498,,macpro-6,SatMay30191618PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,4,Orka,Catalina,audiokit_ioswithPython,Swift,0,148.233,,macpro-6,SatMay30191618PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,5,Orka,Catalina,audiokit_ioswithPython,Swift,0,148.148,,macpro-6,SatMay30191618PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,6,Orka,Catalina,audiokit_ioswithPython,Swift,0,148.628,,macpro-6,SatMay30191618PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,7,Orka,Catalina,audiokit_ioswithPython,Swift,0,146.969,,macpro-6,SatMay30191618PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,8,Orka,Catalina,audiokit_ioswithPython,Swift,0,152.848,,macpro-6,SatMay30191618PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,9,Orka,Catalina,audiokit_ioswithPython,Swift,0,166.255,,macpro-6,SatMay30191618PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,10,Orka,Catalina,audiokit_ioswithPython,Swift,0,164.295,,macpro-6,SatMay30191618PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,2,Orka,Catalina,audiokit_macoswithPython,Swift,0,138.183,,macpro-5,SatMay30132727PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,3,Orka,Catalina,audiokit_macoswithPython,Swift,0,132.136,,macpro-5,SatMay30132727PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,4,Orka,Catalina,audiokit_macoswithPython,Swift,0,128.674,,macpro-5,SatMay30132727PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,5,Orka,Catalina,audiokit_macoswithPython,Swift,0,128.665,,macpro-5,SatMay30132727PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,6,Orka,Catalina,audiokit_macoswithPython,Swift,0,128.469,,macpro-5,SatMay30132727PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,7,Orka,Catalina,audiokit_macoswithPython,Swift,0,127.794,,macpro-5,SatMay30132727PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,8,Orka,Catalina,audiokit_macoswithPython,Swift,0,127.808,,macpro-5,SatMay30132727PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,9,Orka,Catalina,audiokit_macoswithPython,Swift,0,132.711,,macpro-5,SatMay30132727PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,10,Orka,Catalina,audiokit_macoswithPython,Swift,0,141.658,,macpro-5,SatMay30132727PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,2,Orka,Catalina,audiokit_macoswithPython,Swift,0,136.835,,macpro-6,SatMay30194108PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,3,Orka,Catalina,audiokit_macoswithPython,Swift,0,134.149,,macpro-6,SatMay30194108PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,4,Orka,Catalina,audiokit_macoswithPython,Swift,0,130.205,,macpro-6,SatMay30194108PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,5,Orka,Catalina,audiokit_macoswithPython,Swift,0,128.594,,macpro-6,SatMay30194108PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
CatalinaOrkaMac Pro 12C 64GB66,Mac Pro 12C 64GB,6,Orka,Catalina,audiokit_macoswithPython,Swift,0,131.2,,macpro-6,SatMay30194108PDT2020,11.3,11C29,Static,local,19.2.0,6,6,,14.3057
